"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800000","8000000","25320000","17570000","51940000","232375000","122034000","104188500","69868500","110725325.614409","122852992.703235","247140608.495888","292073220.164722","466531991.901724","667671562.134495","943733059.483284","760040745.87233","529321391.641958","653219756.47225","496636701.129687","346092394.393256","406578406.693112","184127986.314895","333823945.510433","252747990.684352","266855048.832037","100287214.397978","58582750.1214803","366445214.820501","975658909.266107","580365078.650983",
"American Samoa","ASM","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","2200000","-6900000","8500000","19600000","22400000","23000000","5000000","4400000","15600000","22600000","38596296.2962963","32951851.8518519","43107407.4074074","60607407.4074074","54792592.5925926","19648148.1481481","15240740.7407407","24788888.8888889","31485185.1851852","19351851.8518519","22944444.4444444","22774074.0740741","51792533.3333333","96504370.1625511","145813879.480756","92910942.6925618","120216017.556152","104576495.70641","123754285.361587","288731522.142357","346552078.976619","153573370.702718","83981325.7341622","93722574.3158356","69631054.053927","124833151.026493","92885388.5633041","46263101.049287","114024660.121814","97431976.4735789","151271628.230867","202333092.274125","133908540.326001","106204179.16137","289857032.537224","301726890.37037","300597732.222222",
"Australia","AUS","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","893138535.5","1155158059","1054014675.1","135039666.1","1327729911.6","449028697.2","1047313646.6","1141019599.1","1676855615.2","1489983132.8","1866223965","2346546543","2286321730.3","2990964045.3","428250491.4","2098624894.3","5369760088.7","5190522203","8476377245.2751","8023170406.83781","8457776859.55028","2612066526.44483","4941906671.70674","5312435141.58877","4458484243.65442","13268875155.4923","4563952446.39275","8088068982.50254","7597610928.17343","2210917991.82997","14892978180.1828","10717133150.6924","14656321800.5386","8985246029.5004","42907672820.3756","-25093141435.1896","30551100656.5983","44440876036.5147","45170097261.1184","28932973452.6035","35554698682.4247","65578266555.523","57571285654.7447","54472699003.596","63204516347.8726","46892808567.8516","42970225977.7088","48199372039.9015","60686639529.923","38745129661.1196","17976843681.3118","31518948092.7139","70364982117.0187","32501414006.7699",
"Austria","AUT","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","112650000","142729999.9","145400000","160759999.9","177050000","79109999.9","91230000","96810000","142389999.9","187430000","239300000","327519999.9","207919999.9","216120000","115239999.9","169167935.4","183400907.8","395491398","445427083.5","581979789.4","1701000000","1293000000","1760037230","1178548220","1241015850","1083553080","1889079770","1998372650","2768044220","3300911860","5509489590","3021896900","5780433860","6859781900","8029899490","81096089418.116","10500457158.3387","68865787583.4395","6301143681.98324","14300064389.0077","-22007325156.2772","22983942931.9265","5218620112.78237","-1290975416.81939","1708425859.86856","-6847372583.72227","-28502567388.3665","14031983575.0406","-27839206246.3826","-12636357247.4569","-12003798872.8906","18998114634.0552","14301504457.0346","2924935668.81844",
"Azerbaijan","AZE","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","330050000","627277000","1114838000","1022967000","510317000","129937000","819579000","2024577000","4007330000","4719107000","4476396000","4485966000","4594234000","3986807000","2900030000","3352997000","4485120000","5293250000","2619437000","4430466000","4047630000","4499666000","2867487000","1402998000","1503918000","507151800","-1707666000","-4474481000","252836000",
"Burundi","BDI","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","100000","","410000","440000","220000","320000","80000","-250000","890000","-300000","4599999.9","11080000","900000","3040000","1189999.9","538566.543006104","1524028.63247118","1367714.12346925","1196623.81138929","567226.890756301","1255434.74294","892500.106741913","600088.333002617","473679.874783755","3957.84890911789","1981922.46479085","","","","-475191.305312188","","-11440.9127038289","","","44690.7076028704","584701.692574561","31593.7781888499","500245.093059071","3833208.34759484","348404.534569828","780582.003631939","3354999.1805922","604919.651526489","116727136.517749","91728105.4553991","7360447.70883191","55456.6186128592","221005514.187153","6663532.44406275","30289708.9123114","21226213.0415059","22377441.9094287","25285988.3657221","34127983.5378171",
"Belgium","BEL","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","314000000","428000000","386000000","719000000","1137000000","954600000","871789999.9","1274930000","1435800000","1130079999.9","1544780000","1386450000","1472180000","1289700000","389370000","1051490000","729860000","2354920000","5212470000","7020270000","6314440000","6270930000","11407000000","4903560000","1371380000","11603000000","8026120000","7252120000","28845300000","122304174000","86361710000","100646089000","18118954671.3727","34559267489.7083","44498165771.1404","33662010793.5663","58821552824.3718","96551634531.2489","190391844688.587","77354509260.1055","125491894873.016","163624381384.584","11810272330.6797","-29640924980.1455","-15205871357.966","-19514245854.7287","57538351507.0684","-37288840312.4531","-41601387266.7493","-10587088044.2371","-30416922630.7659","35347519888.6006","11875049208.5361","-2776119886.70005",
"Benin","BEN","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","6700000","2799999.9","4799999.9","3500000","-2343120.32888629","1889760.24940719","2452390.82596359","3126021.57196208","753359.561873316","3568043.12335903","4316555.84568939","2090299.06059477","-12172.6229100822","10496.868316392","11442.7822973772","-90000","1100000","100000","-21662039.8992973","-1118466.198443","-2954844.09146129","393822.32951725","954317.43364815","-21635980.3291014","-7107468.70636541","-7738379.60727878","-14661253.7760882","12183267.3373419","11294143.4999269","9314781.87697578","-12794843.6146594","16739539.3415644","-19395622.6954978","10638088.2576387","-40774605.0603662","-8788860.12677477","-12363482.3642044","139189943.015456","48210757.8531253","-18807407.3780513","53507087.7359353","161302390.821903","281548556.296849","360343380.324677","405737369.105159","149755663.330268","131790853.84079","200902719.348051","194073683.196866","218207871.715642","174019952.063051","345985235.68003","375988902.223793","48955920",
"Burkina Faso","BFA","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","400000","1000000","-700000","4400000","2669999.9","300000","2049999.9","4969999.9","1159999.9","1490000","20000","2430000","1950000","1980000","1669999.9","-1429999.9","3140000","1330000","3710000","5669999.9","-550940","133540","122090","1553880","6844320","200340","654870","1046830","5264840","193280","167140","597510","1715950","1918440","-8947820","52130040.8814284","83849256.0712148","21711800.9008661","33190579.8762819","56653992.3324814","38870701.3569488","143845512.327138","329281976.028321","490403410.536841","357296974.294135","231901703.683869","390622353.410172","2572690.32188177","268414907.946195","162970140.263612","-98777856.0144418","-79957355.3390048","669738240.850165","5174270",
